label,Near earth,Magnitude,Eccentricity,Semi-major axis (AU),Perihelion distance (AU),Rotation period (s)
(AQ),N,13.4,0.1327,3.1765,2.7551,
(AQ101),N,12.6,0.0685,5.2021,4.8456,
(AQ127),N,13.4,0.2194,2.6638,2.0792,
(AQ14),N,11.2,0.0369,5.1828,4.9917,
(AQ164),N,13.1,0.1517,3.0434,2.5815,
(AQ17),N,13.4,0.1956,2.8035,2.2551,
(AQ177),N,13.5,0.1314,2.6002,2.2585,23540.4
(AQ18),N,13.6,0.0445,2.6127,2.4964,
(AQ186),N,13.5,0.1833,3.129,2.5556,
(AQ188),N,13.6,0.1901,3.2261,2.6128,
(AQ2),N,12.6,0.1199,3.1941,2.8111,46449.216
(AQ200),N,13.4,0.111,3.1734,2.8211,
(AQ22),N,13.5,0.1575,2.7812,2.3431,
(AQ231),N,12.2,0.0679,5.2694,4.9117,
(AQ236),N,13.2,0.0607,3.1522,2.9608,
(AQ35),N,13.8,0.1513,3.9452,3.3484,
(AQ4),N,13.9,0.1096,3.2069,2.8554,
(AQ4),N,13.5,0.0946,3.0072,2.7227,
(AQ51),N,13,0.0628,3.0711,2.8783,
(AQ70),N,12.4,0.1144,3.1658,2.8035,
(AR1),N,13.1,0.1876,2.6804,2.1775,
(AR102),N,13.6,0.0583,5.1702,4.8686,
(AR115),N,13.5,0.1375,3.1814,2.744,
(AR118),N,13.7,0.1237,3.131,2.7437,
(AR12),N,13.4,0.0885,3.0279,2.76,75884.4
(AR120),N,13,0.0357,2.9257,2.8213,
(AR128),N,13.3,0.2435,3.0211,2.2855,
(AR16),N,12.9,0.1087,3.419,3.0472,
(AR162),N,13.3,0.1375,2.6742,2.3064,
(AR166),N,13.3,0.0121,3.1373,3.0994,
(AR171),N,13.5,0.2262,2.7693,2.1429,
(AR177),N,13.2,0.0944,3.1825,2.8822,
(AR179),N,13.5,0.1364,2.8072,2.4242,
(AR181),N,13.2,0.1904,3.0203,2.4452,
(AR184),N,11.1,0.0727,5.2747,4.891,
(AR198),N,12.5,0.148,3.1937,2.7209,
(AR200),N,13,0.1703,2.5753,2.1368,
(AR202),N,13.8,0.0743,2.6222,2.4274,
(AR22),N,13.9,0.1519,3.1324,2.6566,
(AR22),N,13.6,0.1233,3.0605,2.6833,29606.4
(AR233),N,13.6,0.1345,2.8432,2.4607,
(AR236),N,12.8,0.0625,3.1214,2.9265,
(AR237),N,13.3,0.1595,2.6131,2.1962,
(AR242),N,13.6,0.2385,2.756,2.0987,
(AR25),N,10.6,0.0316,5.2066,5.042,30668.4
(AR5),N,13.2,0.073,2.969,2.7522,
(AR5),N,12.9,0.1965,2.9318,2.3557,
(AR56),N,13.7,0.0678,3.0533,2.8462,
(AR59),N,13.4,0.2574,3.1657,2.3508,
(AR6),N,12.3,0.0525,3.2343,3.0646,
(AR72),N,13.2,0.0185,5.2973,5.1994,
(AR89),N,13.7,0.1737,2.7833,2.2998,
(AR9),N,13,0.1439,3.2075,2.7458,
(AR97),N,12.8,0.1401,2.2254,1.9136,48902.4
(AS),N,13,0.0749,3.1696,2.9322,
(AS),N,13.1,0.1622,3.1118,2.6071,
(AS105),N,11.4,0.0606,5.1165,4.8067,
(AS118),N,13.5,0.1374,2.5801,2.2255,
(AS130),N,13.5,0.0632,5.2198,4.8901,
(AS16),N,13.4,0.0244,3.0491,2.9747,
(AS17),N,13.9,0.1013,2.9759,2.6744,
(AS175),N,12.8,0.0686,3.2386,3.0164,23425.2
(AS181),N,13.7,0.2318,2.8443,2.1848,13843.7676
(AS185),N,13,0.2,2.6664,2.1331,
(AS2),N,11.6,0.1096,5.2833,4.7044,
(AS2),N,13.6,0.1795,3.1582,2.5913,13032
(AS23),N,12.8,0.0936,2.9922,2.7122,
(AS236),N,13.4,0.1466,2.7071,2.3102,
(AS237),N,13.9,0.2123,3.0492,2.4018,
(AS239),N,13.8,0.2094,2.6588,2.102,
(AS242),N,13.5,0.1201,3.1605,2.781,
(AS25),N,11.1,0.0264,5.2554,5.1167,
(AS25),N,13.7,0.073,2.9828,2.7651,
(AS27),N,13,0.0255,3.9174,3.8173,
(AS36),N,13.6,0.0675,3.209,2.9923,
(AS4),N,13,0.1392,2.4274,2.0896,29237.04
(AS70),N,13.2,0.2212,2.7953,2.1769,45979.2
(AS88),N,13.7,0.0789,2.9749,2.74,
(AS95),N,13.1,0.0964,3.0541,2.7598,
(AT),N,13.1,0.1232,3.0265,2.6536,
(AT),N,13.6,0.2333,2.4547,1.8819,43347.6
(AT1),N,12.2,0.1064,3.1718,2.8342,14482.8
(AT1),N,12.6,0.2272,2.6518,2.0492,52020
(AT112),N,13.2,0.116,3.0294,2.6778,
(AT126),N,13.9,0.0752,2.9677,2.7444,
(AT137),N,13.8,0.1392,2.6386,2.2713,
(AT143),N,13.7,0.0604,2.9989,2.8179,
(AT177),N,10.6,0.0842,5.1792,4.7432,21657.6
(AT185),N,13.5,0.128,2.6056,2.272,
(AT192),N,13.5,0.2184,2.6591,2.0782,
(AT197),N,13.8,0.1046,3.0752,2.7537,72660.6
(AT2),N,12.6,0.2505,3.9768,2.9804,12995.28
(AT2),N,13.7,0.095,2.7551,2.4934,
(AT237),N,13.4,0.0293,3.061,2.9712,
(AT244),N,13.7,0.0702,3.0586,2.844,
(AT3),N,13.6,0.1358,2.7628,2.3876,
